"Bug ID","Version"
478723,"unspecified"
478766,"Trunk"
480151,"Trunk"
480694,"3.5 Branch"
480726,"unspecified"
481366,"unspecified"
481809,"unspecified"
482029,"Trunk"
482580,"Trunk"
482726,"unspecified"
484896,"unspecified"
485265,"3.0 Branch"
486511,"unspecified"
486925,"unspecified"
487013,"3.0 Branch"
487634,"unspecified"
487668,"unspecified"
488365,"unspecified"
488757,"unspecified"
489159,"3.5 Branch"
489203,"unspecified"
489981,"3.0 Branch"
490861,"unspecified"
491027,"3.5 Branch"
491156,"unspecified"
491807,"unspecified"
491853,"Trunk"
492811,"unspecified"
493377,"3.0 Branch"
494076,"Trunk"
494418,"Trunk"
495866,"unspecified"
495976,"unspecified"
496205,"3.5 Branch"
496554,"unspecified"
496754,"2.0 Branch"
497081,"unspecified"
497083,"3.5 Branch"
497931,"3.5 Branch"
498367,"3.5 Branch"
498447,"3.0 Branch"
498949,"unspecified"
499057,"unspecified"
499095,"3.5 Branch"
499190,"unspecified"
499572,"3.5 Branch"
499888,"Trunk"
500151,"unspecified"
502471,"3.5 Branch"
502487,"unspecified"
502656,"unspecified"
503532,"unspecified"
503789,"unspecified"
504201,"unspecified"
504262,"3.5 Branch"
505475,"3.5 Branch"
507661,"3.5 Branch"
507905,"unspecified"
508741,"unspecified"
508797,"3.5 Branch"
510187,"unspecified"
510516,"3.5 Branch"
510945,"unspecified"
510946,"3.5 Branch"
511624,"Trunk"
511850,"Trunk"
511908,"unspecified"
512136,"unspecified"
515095,"Trunk"
516066,"unspecified"
517536,"unspecified"
517846,"3.5 Branch"
518138,"unspecified"
519458,"3.5 Branch"
520936,"9 Branch"
524944,"Trunk"
525858,"3.6 Branch"
528531,"3.6 Branch"
529080,"3.6 Branch"
529366,"unspecified"
529591,"3.6 Branch"
529680,"3.6 Branch"
531264,"unspecified"
532798,"Trunk"
533289,"unspecified"
535827,"unspecified"
536576,"Trunk"
537669,"unspecified"
540621,"Trunk"
541634,"unspecified"
542990,"3.5 Branch"
543619,"unspecified"
547642,"unspecified"
548100,"unspecified"
549294,"unspecified"
550333,"Trunk"
552424,"Trunk"
553177,"3.6 Branch"
555665,"unspecified"
555855,"3.6 Branch"
